Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Unknown Annotation,"AttributeOverride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\Application.java",3,0,3,0,1,0.00,0.00,0,0,,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,13,3,10,7,1,0,,5,7,6,1,,1,,0,,,0.00,1
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\Identifier.java",0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,12,3,9,8,0,0,,5,6,6,0,,0,,0,,,0.00,0
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\IdentifierConverterConfiguration.java",4,0,4,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,14,3,11,8,1,0,,5,7,6,1,,1,,0,,,0.00,1
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\IdentifierDeserializer.java",9,1,8,0,2,0.00,0.00,0,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,46,8,38,21,13,0,,19,26,17,12,,4,,1,,,0.00,6
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\IdentifierSerializer.java",13,2,11,0,2,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,23,5,18,11,5,0,,9,12,8,5,,2,,1,,,0.00,2
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\StringToIdentifierConverterFactory.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,3,,3,3,1,3,,0,0,0,3,,41,7,34,21,8,0,,15,22,15,8,,3,,1,,,0.00,5
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\common\identifier\package-info.java",0,0,0,0,0,0.00,0.00,0,0,,,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,4,1,3,3,0,0,,2,2,2,0,,0,,0,,,0.00,0
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\config\SecurityConfig.java",5,0,4,1,1,0.00,0.00,0,0,,,,,1,0,0,4,,4,1,0,1,,0,0,0,1,,30,4,23,12,9,3,,9,11,9,2,,1,,0,,,0.13,4
File,"C:\Users\a_men\Downloads\Codigos\ddd-example-refatoracao\src\main\java\com\lprevidente\ddd_example\exception\DomainException.java",4,0,4,0,1,0.00,0.00,0,0,,,,,1,0,0,5,,5,5,3,5,,0,0,0,5,,38,8,29,12,11,1,,16,22,11,11,,1,,0,,,0.03,5
